,addrTag,askPrice1,askPrice2,askPrice3,askPrice4,askPrice5,askVolume1,askVolume2,askVolume3,askVolume4,askVolume5,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidVolume1,bidVolume2,bidVolume3,bidVolume4,bidVolume5,broker,clock,exchTime,exchTimeUnderMs,high,iopv,last,localTime,localTimeUnderMs,low,numTrades,open,phaseCode,preClosePrice,status,tickerIndex,tickerName,totalAskQty,totalBidQty,tradingDay,turnover,volume,weightedAvgAskPrc,weightedAvgBidPrc
10380500,0,24.55,24.56,24.57,24.58,24.59,25400,39400,18400,28100,46100,24.54,24.53,24.52,24.51,24.5,20900,40100,8400,12400,35700,0,2239460,48927000,0,24.75,0,24.54,48927557,559865,23.76,74143,23.9,,23.82,0,0,000002.SZ,13692281,5524670,20210706,1663209871,68276040,25.34,23.68
10383445,0,24.55,24.56,24.57,24.58,24.59,24800,39100,18400,28100,46100,24.54,24.53,24.52,24.51,24.5,8800,33200,8400,12400,35700,0,3349704,48930000,0,24.75,0,24.55,48930552,837426,23.76,74170,23.9,,23.82,0,0,000002.SZ,13674081,5505870,20210706,1663843034,68301840,25.34,23.67
10386341,0,24.55,24.56,24.57,24.58,24.59,800,38100,18400,28100,46100,24.54,24.53,24.52,24.51,24.5,16200,33200,8400,12400,35700,0,1059780,48933000,0,24.75,0,24.55,48933548,264945,23.76,74211,23.9,,23.82,0,0,000002.SZ,13645481,5513270,20210706,1664446961,68326440,25.34,23.67
10389231,0,24.56,24.57,24.58,24.59,24.6,38100,18400,28100,46100,254800,24.54,24.53,24.52,24.51,24.5,11300,25900,7600,12400,35700,0,3628248,48936000,0,24.75,0,24.54,48936542,907062,23.76,74254,23.9,,23.82,0,0,000002.SZ,13643481,5500270,20210706,1665197934,68357040,25.34,23.67
10392092,0,24.56,24.57,24.58,24.59,24.6,38700,18400,28100,46100,254900,24.55,24.54,24.53,24.52,24.51,7000,10100,25700,7600,12400,0,937104,48939000,0,24.75,0,24.55,48939538,234276,23.76,74260,23.9,,23.82,0,0,000002.SZ,13646181,5505570,20210706,1665271585,68360040,25.34,23.67
10394946,0,24.56,24.57,24.58,24.59,24.6,39500,18400,28100,46100,254900,24.55,24.54,24.53,24.52,24.51,13500,10600,24700,7600,12400,0,2698292,48942000,0,24.75,0,24.55,48942534,674573,23.76,74268,23.9,,23.82,0,0,000002.SZ,13667981,5512070,20210706,1665345235,68363040,25.34,23.67
10397805,0,24.56,24.57,24.58,24.59,24.6,39100,18400,28100,46100,255400,24.55,24.54,24.53,24.52,24.51,16500,10700,24700,7600,12400,0,51180,48945000,0,24.75,0,24.55,48945529,12795,23.76,74274,23.9,,23.82,0,0,000002.SZ,13668181,5515670,20210706,1665413995,68365840,25.34,23.68
10400705,0,24.56,24.57,24.58,24.59,24.6,38700,18400,28100,46100,255900,24.55,24.54,24.53,24.52,24.51,19500,10700,24700,7600,11600,0,1197812,48948000,0,24.75,0,24.55,48948524,299453,23.76,74284,23.9,,23.82,0,0,000002.SZ,13668081,5517970,20210706,1665546570,68371240,25.34,23.68
10403652,0,24.56,24.57,24.58,24.59,24.6,41100,18900,28100,51800,256500,24.55,24.54,24.53,24.52,24.51,29500,10900,24700,7600,11600,0,2163360,48951000,0,24.75,0,24.55,48951581,540840,23.76,74285,23.9,,23.82,0,0,000002.SZ,13675981,5529670,20210706,1665571120,68372240,25.34,23.68
10406542,0,24.56,24.57,24.58,24.59,24.6,41200,19000,28200,51800,259200,24.55,24.54,24.53,24.52,24.51,29500,10900,24700,7600,11600,0,177996,48954000,0,24.75,0,24.55,48954577,44499,23.76,74289,23.9,,23.82,0,0,000002.SZ,13693181,5529670,20210706,1665674267,68376440,25.34,23.68
10409409,0,24.56,24.57,24.58,24.59,24.6,42300,12300,28200,53300,259200,24.55,24.54,24.53,24.52,24.51,35500,10900,24700,7600,11600,0,981404,48957000,0,24.75,0,24.55,48957572,245351,23.76,74295,23.9,,23.82,0,0,000002.SZ,13687581,5539970,20210706,1665733187,68378840,25.34,23.68
10412288,0,24.56,24.57,24.58,24.59,24.6,34100,12300,29400,53300,260600,24.55,24.54,24.53,24.52,24.51,37300,10900,24700,7600,11600,0,306864,48960000,0,24.75,0,24.56,48960567,76716,23.76,74302,23.9,,23.82,0,0,000002.SZ,13695781,5541770,20210706,1665944403,68387440,25.34,23.68
10415196,0,24.56,24.57,24.58,24.59,24.6,28700,13400,29400,53300,261100,24.55,24.54,24.53,24.52,24.51,41600,6900,16200,7600,11400,0,2721672,48963000,0,24.75,0,24.56,48963624,680418,23.76,74312,23.9,,23.82,0,0,000002.SZ,13691981,5533370,20210706,1666094212,68393540,25.34,23.68
10418179,0,24.56,24.57,24.58,24.59,24.6,26000,13400,29400,56300,261100,24.55,24.54,24.53,24.52,24.51,48400,6900,14300,7700,11400,0,1242676,48966000,0,24.75,0,24.55,48966558,310669,23.76,74329,23.9,,23.82,0,0,000002.SZ,13695781,5538470,20210706,1666366721,68404640,25.34,23.68
10421138,0,24.56,24.57,24.58,24.59,24.6,22600,13400,29400,62200,261800,24.55,24.54,24.53,24.52,24.51,46500,6900,14300,7700,11400,0,637376,48969000,0,24.75,0,24.56,48969553,159344,23.76,74339,23.9,,23.82,0,0,000002.SZ,13699481,5538870,20210706,1666516535,68410740,25.34,23.68
10424158,0,24.56,24.57,24.58,24.59,24.6,18800,13400,32100,62300,261800,24.55,24.54,24.53,24.52,24.51,34300,6600,14300,7700,11400,0,2044104,48972000,0,24.75,0,24.56,48972548,511026,23.76,74377,23.9,,23.82,0,0,000002.SZ,13699481,5529570,20210706,1667189259,68438140,25.34,23.68
10427190,0,24.56,24.57,24.58,24.59,24.6,20600,13400,40100,62300,261600,24.55,24.54,24.53,24.52,24.51,26700,6600,14300,7700,11400,0,1390264,48975000,0,24.75,0,24.55,48975543,347566,23.76,74393,23.9,,23.82,0,0,000002.SZ,13709481,5521770,20210706,1667628707,68456040,25.34,23.68
